Machinename quartz Date 2019-08-02 15:06:37.213476 Discretization Type sdm_ld fem_unlump Parallel run F,,,,,,,,,,,,,,,,,,
Nx,Ny,Nz,Nm,Ng,Np,Px,Py,Pz,Ax,Ay,Az,Ami,Ag,Scattering Moments,Overall Time,Sweep Time,Grind Time,Over All Memory
8,8,8,168,1,1,1,1,1,4,8,8,1,1,1,1.67,1.4,406.901042,46
8,8,8,168,1,1,1,1,1,4,8,8,3,1,1,0.793,0.614,178.455171,30
8,8,8,168,1,1,1,1,1,4,8,8,7,1,1,0.55,0.396,115.094866,26
8,8,8,168,1,1,1,1,1,4,8,8,21,1,1,0.429,0.288,83.705357,24
8,8,8,168,1,1,1,1,1,8,1,1,1,1,1,2.03,1.81,526.064918,83
8,8,8,168,1,1,1,1,1,8,1,1,3,1,1,0.9,0.736,213.91369,42
8,8,8,168,1,1,1,1,1,8,1,1,7,1,1,0.601,0.449,130.498977,31
8,8,8,168,1,1,1,1,1,8,1,1,21,1,1,0.447,0.304,88.355655,25
8,8,8,168,1,1,1,1,1,8,1,2,1,1,1,1.85,1.63,473.74907,65
8,8,8,168,1,1,1,1,1,8,1,2,3,1,1,0.863,0.695,201.997303,36
8,8,8,168,1,1,1,1,1,8,1,2,7,1,1,0.583,0.432,125.558036,29
8,8,8,168,1,1,1,1,1,8,1,2,21,1,1,0.441,0.297,86.32115,25
8,8,8,168,1,1,1,1,1,8,1,4,1,1,1,1.77,1.55,450.497582,56
8,8,8,168,1,1,1,1,1,8,1,4,3,1,1,0.839,0.673,195.603144,34
8,8,8,168,1,1,1,1,1,8,1,4,7,1,1,0.568,0.418,121.489025,27
8,8,8,168,1,1,1,1,1,8,1,4,21,1,1,0.437,0.293,85.158575,24
8,8,8,168,1,1,1,1,1,8,1,8,1,1,1,1.69,1.45,421.433222,51
8,8,8,168,1,1,1,1,1,8,1,8,3,1,1,0.81,0.642,186.593192,32
8,8,8,168,1,1,1,1,1,8,1,8,7,1,1,0.561,0.408,118.582589,27
8,8,8,168,1,1,1,1,1,8,1,8,21,1,1,0.431,0.287,83.414714,24
8,8,8,168,1,1,1,1,1,8,2,1,1,1,1,1.88,1.66,482.468378,65
8,8,8,168,1,1,1,1,1,8,2,1,3,1,1,0.875,0.709,206.066313,36
8,8,8,168,1,1,1,1,1,8,2,1,7,1,1,0.586,0.433,125.848679,29
8,8,8,168,1,1,1,1,1,8,2,1,21,1,1,0.441,0.298,86.611793,25
8,8,8,168,1,1,1,1,1,8,2,2,1,1,1,1.76,1.53,444.68471,55
8,8,8,168,1,1,1,1,1,8,2,2,3,1,1,0.837,0.671,195.021856,33
8,8,8,168,1,1,1,1,1,8,2,2,7,1,1,0.567,0.418,121.489025,27
8,8,8,168,1,1,1,1,1,8,2,2,21,1,1,0.433,0.292,84.867932,24
8,8,8,168,1,1,1,1,1,8,2,4,1,1,1,1.69,1.45,421.433222,50
8,8,8,168,1,1,1,1,1,8,2,4,3,1,1,0.821,0.633,183.9774,32
8,8,8,168,1,1,1,1,1,8,2,4,7,1,1,0.558,0.408,118.582589,27
8,8,8,168,1,1,1,1,1,8,2,4,21,1,1,0.425,0.284,82.542783,24
8,8,8,168,1,1,1,1,1,8,2,8,1,1,1,1.67,1.41,409.807478,48
8,8,8,168,1,1,1,1,1,8,2,8,3,1,1,0.801,0.627,182.233538,31
8,8,8,168,1,1,1,1,1,8,2,8,7,1,1,0.549,0.397,115.38551,26
8,8,8,168,1,1,1,1,1,8,2,8,21,1,1,0.424,0.283,82.252139,24
8,8,8,168,1,1,1,1,1,8,4,1,1,1,1,2.03,1.8,523.158482,56
8,8,8,168,1,1,1,1,1,8,4,1,3,1,1,0.847,0.682,198.218936,34
8,8,8,168,1,1,1,1,1,8,4,1,7,1,1,0.577,0.428,124.395461,27
8,8,8,168,1,1,1,1,1,8,4,1,21,1,1,0.437,0.296,86.030506,24
8,8,8,168,1,1,1,1,1,8,4,2,1,1,1,1.73,1.49,433.058966,50
8,8,8,168,1,1,1,1,1,8,4,2,3,1,1,0.818,0.645,187.465123,32
8,8,8,168,1,1,1,1,1,8,4,2,7,1,1,0.557,0.405,117.710658,27
8,8,8,168,1,1,1,1,1,8,4,2,21,1,1,0.434,0.291,84.577288,24
8,8,8,168,1,1,1,1,1,8,4,4,1,1,1,1.68,1.42,412.713914,47
8,8,8,168,1,1,1,1,1,8,4,4,3,1,1,0.796,0.62,180.199033,31
8,8,8,168,1,1,1,1,1,8,4,4,7,1,1,0.554,0.401,116.548084,26
8,8,8,168,1,1,1,1,1,8,4,4,21,1,1,0.426,0.284,82.542783,24
8,8,8,168,1,1,1,1,1,8,4,8,1,1,1,1.67,1.4,406.901042,46
8,8,8,168,1,1,1,1,1,8,4,8,3,1,1,0.798,0.617,179.327102,30
8,8,8,168,1,1,1,1,1,8,4,8,7,1,1,0.55,0.396,115.094866,26
8,8,8,168,1,1,1,1,1,8,4,8,21,1,1,0.427,0.284,82.542783,24
8,8,8,168,1,1,1,1,1,8,8,1,1,1,1,1.73,1.5,435.965402,51
8,8,8,168,1,1,1,1,1,8,8,1,3,1,1,0.817,0.65,188.918341,32
8,8,8,168,1,1,1,1,1,8,8,1,7,1,1,0.56,0.41,119.163876,27
8,8,8,168,1,1,1,1,1,8,8,1,21,1,1,0.433,0.29,84.286644,24
8,8,8,168,1,1,1,1,1,8,8,2,1,1,1,1.8,1.54,447.591146,48
8,8,8,168,1,1,1,1,1,8,8,2,3,1,1,0.804,0.625,181.652251,31
8,8,8,168,1,1,1,1,1,8,8,2,7,1,1,0.557,0.402,116.838728,26
8,8,8,168,1,1,1,1,1,8,8,2,21,1,1,0.428,0.285,82.833426,24
8,8,8,168,1,1,1,1,1,8,8,4,1,1,1,1.68,1.4,406.901042,46
8,8,8,168,1,1,1,1,1,8,8,4,3,1,1,0.793,0.611,177.58324,30
8,8,8,168,1,1,1,1,1,8,8,4,7,1,1,0.552,0.397,115.38551,26
8,8,8,168,1,1,1,1,1,8,8,4,21,1,1,0.429,0.287,83.414714,24
